Date,VN_Index_Close,Total Volume,Total Value
2010-08-16,464.76,42907800.0,202770000000.0
2010-08-17,463.52,36697593.0,153410000000.0
2010-08-18,455.49,37455610.0,95750000000.0
2010-08-19,452.23,31548920.0,179190000000.0
2010-08-20,454.84,34205410.0,87980000000.0
2010-08-23,447.92,24989870.0,138560000000.0
2010-08-24,434.42,47294863.0,145210000000.0
2010-08-25,423.89,51492510.0,92140000000.0
2010-08-26,427.07,39741900.0,61220000000.0
2010-08-27,429.14,34085186.0,104890000000.0
2010-08-30,444.55,34601860.0,68590000000.0
2010-08-31,455.08,55600580.0,123080000000.0
2010-09-01,458.75,47059609.0,84710000000.0
2010-09-06,466.0,57209350.0,133770000000.00002
2010-09-07,460.59,52680210.0,58650000000.0
2010-09-08,458.44,56087956.0,121520000000.0
2010-09-09,463.68,47980890.0,79840000000.0
2010-09-10,451.39,53016227.0,54560000000.0
2010-09-13,447.27,46335909.0,81510000000.0
2010-09-14,449.01,37526050.0,94320000000.0
2010-09-15,448.72,38665300.0,145110000000.0
2010-09-16,449.52,38075630.0,268610000000.0
2010-09-17,457.58,49764470.0,107920000000.0
2010-09-20,457.87,55545921.0,210810000000.0
